map size : (310, 291)Cycle 0: curT = 3355.612549, curPe = 4, nc = 0, nwv = 0
  Cell 71132 (142, 229): pot = 10000000000.000000, left = 10000000000.000000, right = 385.067352, up = 10000000000.000000, down = 390.223938
  Cell 74232 (142, 239): pot = 10000000000.000000, left = 10000000000.000000, right = 385.067352, up = 390.223938, down = 10000000000.000000
  Cell 70823 (143, 228): pot = 10000000000.000000, left = 10000000000.000000, right = 390.223938, up = 10000000000.000000, down = 385.067352
  Cell 74543 (143, 240): pot = 10000000000.000000, left = 10000000000.000000, right = 390.320770, up = 385.067352, down = 10000000000.000000
  Cell 70514 (144, 227): pot = 10000000000.000000, left = 10000000000.000000, right = 405.905884, up = 10000000000.000000, down = 390.223938
  Cell 74854 (144, 241): pot = 10000000000.000000, left = 10000000000.000000, right = 410.803497, up = 390.320770, down = 10000000000.000000

Cycle 11: curT = 3355.612549, curPe = 16, nc = 132, nwv = 15
  Cell 72676 (136, 234): pot = 10000000000.000000, left = 10000000000.000000, right = 550.000000, up = 10000000000.000000, down = 10000000000.000000
  Cell 72367 (137, 233): pot = 10000000000.000000, left = 10000000000.000000, right = 508.905579, up = 10000000000.000000, down = 550.000000
  Cell 72987 (137, 235): pot = 10000000000.000000, left = 10000000000.000000, right = 508.905579, up = 550.000000, down = 10000000000.000000
  Cell 72058 (138, 232): pot = 10000000000.000000, left = 10000000000.000000, right = 475.402893, up = 10000000000.000000, down = 508.905579
  Cell 73298 (138, 236): pot = 10000000000.000000, left = 10000000000.000000, right = 475.402893, up = 508.905579, down = 10000000000.000000
  Cell 71749 (139, 231): pot = 10000000000.000000, left = 10000000000.000000, right = 449.761841, up = 10000000000.000000, down = 475.402893
  Cell 73609 (139, 237): pot = 10000000000.000000, left = 10000000000.000000, right = 449.761841, up = 475.402893, down = 10000000000.000000
  Cell 71440 (140, 230): pot = 10000000000.000000, left = 10000000000.000000, right = 432.144348, up = 10000000000.000000, down = 449.761841
  Cell 73920 (140, 238): pot = 10000000000.000000, left = 10000000000.000000, right = 432.144348, up = 449.761841, down = 10000000000.000000
  Cell 71131 (141, 229): pot = 10000000000.000000, left = 10000000000.000000, right = 422.881592, up = 10000000000.000000, down = 432.144348
  Cell 74231 (141, 239): pot = 10000000000.000000, left = 10000000000.000000, right = 422.881592, up = 432.144348, down = 10000000000.000000
  Cell 70822 (142, 228): pot = 10000000000.000000, left = 10000000000.000000, right = 422.881592, up = 10000000000.000000, down = 422.881592
  Cell 74542 (142, 240): pot = 10000000000.000000, left = 10000000000.000000, right = 422.928345, up = 422.881592, down = 10000000000.000000
  Cell 70513 (143, 227): pot = 10000000000.000000, left = 10000000000.000000, right = 432.614594, up = 10000000000.000000, down = 422.881592
  Cell 74853 (143, 241): pot = 10000000000.000000, left = 10000000000.000000, right = 434.460205, up = 422.928345, down = 10000000000.000000
  Cell 70204 (144, 226): pot = 10000000000.000000, left = 10000000000.000000, right = 10000000000.000000, up = 10000000000.000000, down = 432.614594

Cycle 12: curT = 3355.612549, curPe = 17, nc = 148, nwv = 16
  Cell 72675 (135, 234): pot = 10000000000.000000, left = 10000000000.000000, right = 600.000000, up = 10000000000.000000, down = 10000000000.000000
  Cell 72366 (136, 233): pot = 10000000000.000000, left = 10000000000.000000, right = 558.142761, up = 10000000000.000000, down = 600.000000
  Cell 72986 (136, 235): pot = 10000000000.000000, left = 10000000000.000000, right = 558.142761, up = 600.000000, down = 10000000000.000000
  Cell 72057 (137, 232): pot = 10000000000.000000, left = 10000000000.000000, right = 523.217346, up = 10000000000.000000, down = 558.142761
  Cell 73297 (137, 236): pot = 10000000000.000000, left = 10000000000.000000, right = 523.217346, up = 558.142761, down = 10000000000.000000
  Cell 71748 (138, 231): pot = 10000000000.000000, left = 10000000000.000000, right = 495.543884, up = 10000000000.000000, down = 523.217346
  Cell 73608 (138, 237): pot = 10000000000.000000, left = 10000000000.000000, right = 495.543884, up = 523.217346, down = 10000000000.000000
  Cell 71439 (139, 230): pot = 10000000000.000000, left = 10000000000.000000, right = 475.265594, up = 10000000000.000000, down = 495.543884
  Cell 73919 (139, 238): pot = 10000000000.000000, left = 10000000000.000000, right = 475.265594, up = 495.543884, down = 10000000000.000000
  Cell 71130 (140, 229): pot = 10000000000.000000, left = 10000000000.000000, right = 462.602478, up = 10000000000.000000, down = 475.265594
  Cell 74230 (140, 239): pot = 10000000000.000000, left = 10000000000.000000, right = 462.602478, up = 475.265594, down = 10000000000.000000
  Cell 70821 (141, 228): pot = 10000000000.000000, left = 10000000000.000000, right = 458.081604, up = 10000000000.000000, down = 462.602478
  Cell 74541 (141, 240): pot = 10000000000.000000, left = 10000000000.000000, right = 458.106384, up = 462.602478, down = 10000000000.000000
  Cell 70512 (142, 227): pot = 10000000000.000000, left = 10000000000.000000, right = 462.810944, up = 10000000000.000000, down = 458.081604
  Cell 74852 (142, 241): pot = 10000000000.000000, left = 10000000000.000000, right = 463.636322, up = 458.106384, down = 10000000000.000000
  Cell 70203 (143, 226): pot = 10000000000.000000, left = 10000000000.000000, right = 482.614594, up = 10000000000.000000, down = 462.810944
  Cell 75163 (143, 242): pot = 10000000000.000000, left = 10000000000.000000, right = 10000000000.000000, up = 463.636322, down = 10000000000.000000

Cycle 13: curT = 3355.612549, curPe = 17, nc = 165, nwv = 17
  Cell 72674 (134, 234): pot = 10000000000.000000, left = 10000000000.000000, right = 650.000000, up = 10000000000.000000, down = 10000000000.000000
  Cell 72365 (135, 233): pot = 10000000000.000000, left = 10000000000.000000, right = 607.493530, up = 10000000000.000000, down = 650.000000
  Cell 72985 (135, 235): pot = 10000000000.000000, left = 10000000000.000000, right = 607.493530, up = 650.000000, down = 10000000000.000000
  Cell 72056 (136, 232): pot = 10000000000.000000, left = 10000000000.000000, right = 571.338806, up = 10000000000.000000, down = 607.493530
  Cell 73296 (136, 236): pot = 10000000000.000000, left = 10000000000.000000, right = 571.338806, up = 607.493530, down = 10000000000.000000
  Cell 71747 (137, 231): pot = 10000000000.000000, left = 10000000000.000000, right = 541.905884, up = 10000000000.000000, down = 571.338806
  Cell 73607 (137, 237): pot = 10000000000.000000, left = 10000000000.000000, right = 541.905884, up = 571.338806, down = 10000000000.000000
  Cell 71438 (138, 230): pot = 10000000000.000000, left = 10000000000.000000, right = 519.334900, up = 10000000000.000000, down = 541.905884
  Cell 73918 (138, 238): pot = 10000000000.000000, left = 10000000000.000000, right = 519.334900, up = 541.905884, down = 10000000000.000000
  Cell 71129 (139, 229): pot = 10000000000.000000, left = 10000000000.000000, right = 503.784851, up = 10000000000.000000, down = 519.334900
  Cell 74229 (139, 239): pot = 10000000000.000000, left = 10000000000.000000, right = 503.784851, up = 519.334900, down = 10000000000.000000
  Cell 70820 (140, 228): pot = 10000000000.000000, left = 10000000000.000000, right = 495.586761, up = 10000000000.000000, down = 503.784851
  Cell 74540 (140, 240): pot = 10000000000.000000, left = 10000000000.000000, right = 495.599426, up = 503.784851, down = 10000000000.000000
  Cell 70511 (141, 227): pot = 10000000000.000000, left = 10000000000.000000, right = 495.688538, up = 10000000000.000000, down = 495.586761
  Cell 74851 (141, 241): pot = 10000000000.000000, left = 10000000000.000000, right = 496.100403, up = 495.599426, down = 10000000000.000000
  Cell 70202 (142, 226): pot = 10000000000.000000, left = 10000000000.000000, right = 506.715912, up = 10000000000.000000, down = 495.688538
  Cell 75162 (142, 242): pot = 10000000000.000000, left = 10000000000.000000, right = 513.636353, up = 496.100403, down = 10000000000.000000

Cycle 14: curT = 3355.612549, curPe = 18, nc = 182, nwv = 17
  Cell 72673 (133, 234): pot = 10000000000.000000, left = 10000000000.000000, right = 700.000000, up = 10000000000.000000, down = 10000000000.000000
  Cell 72364 (134, 233): pot = 10000000000.000000, left = 10000000000.000000, right = 656.936829, up = 10000000000.000000, down = 700.000000
  Cell 72984 (134, 235): pot = 10000000000.000000, left = 10000000000.000000, right = 656.936829, up = 700.000000, down = 10000000000.000000
  Cell 72055 (135, 232): pot = 10000000000.000000, left = 10000000000.000000, right = 619.710571, up = 10000000000.000000, down = 656.936829
  Cell 73295 (135, 236): pot = 10000000000.000000, left = 10000000000.000000, right = 619.710571, up = 656.936829, down = 10000000000.000000
  Cell 71746 (136, 231): pot = 10000000000.000000, left = 10000000000.000000, right = 588.739258, up = 10000000000.000000, down = 619.710571
  Cell 73606 (136, 237): pot = 10000000000.000000, left = 10000000000.000000, right = 588.739258, up = 619.710571, down = 10000000000.000000
  Cell 71437 (137, 230): pot = 10000000000.000000, left = 10000000000.000000, right = 564.168823, up = 10000000000.000000, down = 588.739258
  Cell 73917 (137, 238): pot = 10000000000.000000, left = 10000000000.000000, right = 564.168823, up = 588.739258, down = 10000000000.000000
  Cell 71128 (138, 229): pot = 10000000000.000000, left = 10000000000.000000, right = 546.124512, up = 10000000000.000000, down = 564.168823
  Cell 74228 (138, 239): pot = 10000000000.000000, left = 10000000000.000000, right = 546.124512, up = 564.168823, down = 10000000000.000000
  Cell 70819 (139, 228): pot = 10000000000.000000, left = 10000000000.000000, right = 534.828186, up = 10000000000.000000, down = 546.124512
  Cell 74539 (139, 240): pot = 10000000000.000000, left = 10000000000.000000, right = 534.835083, up = 546.124512, down = 10000000000.000000
  Cell 70510 (140, 227): pot = 10000000000.000000, left = 10000000000.000000, right = 530.840698, up = 10000000000.000000, down = 534.828186
  Cell 74850 (140, 241): pot = 10000000000.000000, left = 10000000000.000000, right = 531.064148, up = 534.835083, down = 10000000000.000000
  Cell 70201 (141, 226): pot = 10000000000.000000, left = 10000000000.000000, right = 536.181152, up = 10000000000.000000, down = 530.840698
  Cell 75161 (141, 242): pot = 10000000000.000000, left = 10000000000.000000, right = 539.191589, up = 531.064148, down = 10000000000.000000
  Cell 69892 (142, 225): pot = 10000000000.000000, left = 10000000000.000000, right = 10000000000.000000, up = 10000000000.000000, down = 536.181152

Cycle 15: curT = 3355.612549, curPe = 18, nc = 200, nwv = 18
  Cell 72672 (132, 234): pot = 10000000000.000000, left = 10000000000.000000, right = 750.000000, up = 10000000000.000000, down = 10000000000.000000
  Cell 72363 (133, 233): pot = 10000000000.000000, left = 10000000000.000000, right = 706.456360, up = 10000000000.000000, down = 750.000000
  Cell 72983 (133, 235): pot = 10000000000.000000, left = 10000000000.000000, right = 706.456360, up = 750.000000, down = 10000000000.000000
  Cell 72054 (134, 232): pot = 10000000000.000000, left = 10000000000.000000, right = 668.289124, up = 10000000000.000000, down = 706.456360
  Cell 73294 (134, 236): pot = 10000000000.000000, left = 10000000000.000000, right = 668.289124, up = 706.456360, down = 10000000000.000000
