map size : (310, 291)Cycle 0: curT = 3355.612549, curPe = 4, nc = 0, nwv = 0
  -> Updated cell 76086 (136, 245): new pot = 891.364075 (with added heuristic 3474.482178)
updateCellAstar: Cell 76085 (135, 245): left = 10000000000.000000, right = 891.364075, up = 871.385986, down = 10000000000.000000
  -> Updated cell 76085 (135, 245): new pot = 915.351562 (with added heuristic 3450.109863)
updateCellAstar: Cell 76084 (134, 245): left = 10000000000.000000, right = 915.351562, up = 907.066589, down = 10000000000.000000
  -> Updated cell 76084 (134, 245): new pot = 946.347534 (with added heuristic 3432.811035)
updateCellAstar: Cell 68955 (135, 222): left = 10000000000.000000, right = 10000000000.000000, up = 10000000000.000000, down = 912.924194
  -> Updated cell 68955 (135, 222): new pot = 1128.924194 (with added heuristic 3629.424316)
updateCellAstar: Cell 76083 (133, 245): left = 10000000000.000000, right = 946.347534, up = 945.772156, down = 10000000000.000000
  -> Updated cell 76083 (133, 245): new pot = 981.276001 (with added heuristic 3419.513184)
updateCellAstar: Cell 68954 (134, 222): left = 10000000000.000000, right = 1128.924194, up = 10000000000.000000, down = 942.761353
  -> Updated cell 68954 (134, 222): new pot = 1156.703125 (with added heuristic 3608.233154)
updateCellAstar: Cell 76082 (132, 245): left = 10000000000.000000, right = 981.276001, up = 986.175842, down = 10000000000.000000
  -> Updated cell 76082 (132, 245): new pot = 1018.965881 (with added heuristic 3409.049561)
updateCellAstar: Cell 68953 (133, 222): left = 10000000000.000000, right = 1156.703125, up = 10000000000.000000, down = 978.183228
  -> Updated cell 68953 (133, 222): new pot = 1191.038086 (with added heuristic 3593.640869)
updateCellAstar: Cell 76081 (131, 245): left = 1120.050659, right = 1018.965881, up = 1027.701660, down = 10000000000.000000
  -> Updated cell 76081 (131, 245): new pot = 1058.450806 (with added heuristic 3400.458496)
updateCellAstar: Cell 68952 (132, 222): left = 1272.708008, right = 1191.038086, up = 10000000000.000000, down = 1016.607117
  -> Updated cell 68952 (132, 222): new pot = 1228.829346 (with added heuristic 3582.549805)
updateCellAstar: Cell 74836 (126, 241): left = 10000000000.000000, right = 1133.755615, up = 1330.419067, down = 1204.364258
  -> Updated cell 74836 (126, 241): new pot = 1183.755615 (with added heuristic 3233.755615)
updateCellAstar: Cell 76390 (130, 246): left = 10000000000.000000, right = 10000000000.000000, up = 1120.050659, down = 10000000000.000000
  -> Updated cell 76390 (130, 246): new pot = 1170.050659 (with added heuristic 3478.729980)
updateCellAstar: Cell 76389 (129, 246): left = 10000000000.000000, right = 1170.050659, up = 1151.738525, down = 10000000000.000000
  -> Updated cell 76389 (129, 246): new pot = 1195.113525 (with added heuristic 3456.197266)
updateCellAstar: Cell 75455 (125, 243): left = 10000000000.000000, right = 1223.009155, up = 1444.364258, down = 1295.362183
  -> Updated cell 75455 (125, 243): new pot = 1407.894287 (with added heuristic 3433.974121)
updateCellAstar: Cell 76388 (128, 246): left = 10000000000.000000, right = 1195.113525, up = 1189.400391, down = 10000000000.000000
  -> Updated cell 76388 (128, 246): new pot = 1227.482178 (with added heuristic 3441.076660)
updateCellAstar: Cell 76387 (127, 246): left = 10000000000.000000, right = 1227.482178, up = 1229.954468, down = 10000000000.000000
  -> Updated cell 76387 (127, 246): new pot = 1263.966064 (with added heuristic 3430.184082)
updateCellAstar: Cell 76386 (126, 246): left = 10000000000.000000, right = 1263.966064, up = 1272.238892, down = 10000000000.000000
  -> Updated cell 76386 (126, 246): new pot = 1303.241455 (with added heuristic 3422.203369)
updateCellAstar: Cell 70181 (121, 226): left = 1721.531250, right = 1387.148315, up = 1455.531250, down = 1588.025879
  -> Updated cell 70181 (121, 226): new pot = 1437.148315 (with added heuristic 3212.676270)
updateCellAstar: Cell 76074 (124, 245): left = 10000000000.000000, right = 1317.249756, up = 1535.362183, down = 10000000000.000000
  -> Updated cell 76074 (124, 245): new pot = 1533.249756 (with added heuristic 3541.358398)
updateCellAstar: Cell 76385 (125, 246): left = 10000000000.000000, right = 1303.241455, up = 1317.249756, down = 10000000000.000000
  -> Updated cell 76385 (125, 246): new pot = 1344.972656 (with added heuristic 3416.807617)
updateCellAstar: Cell 69867 (117, 225): left = 10000000000.000000, right = 1771.531250, up = 1736.206787, down = 10000000000.000000
  -> Updated cell 69867 (117, 225): new pot = 1922.717163 (with added heuristic 3511.742188)
updateCellAstar: Cell 69558 (118, 224): left = 1736.206787, right = 1568.551392, up = 1636.206787, down = 1771.531250
  -> Updated cell 69558 (118, 224): new pot = 1618.551392 (with added heuristic 3267.793701)
updateCellAstar: Cell 69230 (100, 223): left = 10000000000.000000, right = 2486.206787, up = 10000000000.000000, down = 2613.280029
  -> Updated cell 69230 (100, 223): new pot = 2536.206787 (with added heuristic 3368.372559)
updateCellAstar: Cell 68921 (101, 222): left = 10000000000.000000, right = 2645.842285, up = 10000000000.000000, down = 2486.206787
  -> Updated cell 68921 (101, 222): new pot = 2695.842285 (with added heuristic 3597.229980)
updateCellAstar: Cell 69541 (101, 224): left = 2613.280029, right = 2445.112305, up = 2486.206787, down = 2513.280029
  -> Updated cell 69541 (101, 224): new pot = 2494.349609 (with added heuristic 3344.349609)
updateCellAstar: Cell 70474 (104, 227): left = 2504.197021, right = 10000000000.000000, up = 2421.180664, down = 10000000000.000000
  -> Updated cell 70474 (104, 227): new pot = 2609.959961 (with added heuristic 3544.037109)
updateCellAstar: Cell 70783 (103, 228): left = 10000000000.000000, right = 10000000000.000000, up = 2504.197021, down = 10000000000.000000
  -> Updated cell 70783 (103, 228): new pot = 2744.197021 (with added heuristic 3617.409424)
updateCellAstar: Cell 70782 (102, 228): left = 10000000000.000000, right = 2744.197021, up = 2534.041504, down = 10000000000.000000
  -> Updated cell 70782 (102, 228): new pot = 2750.586670 (with added heuristic 3575.207764)
updateCellAstar: Cell 70781 (101, 228): left = 2662.121826, right = 2750.586670, up = 2571.079834, down = 10000000000.000000
  -> Updated cell 70781 (101, 228): new pot = 2621.079834 (with added heuristic 3397.288574)
updateCellAstar: Cell 69847 (97, 225): left = 10000000000.000000, right = 2663.280029, up = 10000000000.000000, down = 10000000000.000000
  -> Updated cell 69847 (97, 225): new pot = 2713.280029 (with added heuristic 3365.200195)
updateCellAstar: Cell 69538 (98, 224): left = 10000000000.000000, right = 2648.479980, up = 10000000000.000000, down = 2663.280029
  -> Updated cell 69538 (98, 224): new pot = 2690.526367 (with added heuristic 3411.636719)
updateCellAstar: Cell 70158 (98, 226): left = 10000000000.000000, right = 2630.352295, up = 2663.280029, down = 2705.467285
  -> Updated cell 70158 (98, 226): new pot = 2678.037354 (with added heuristic 3348.857666)
updateCellAstar: Cell 69229 (99, 223): left = 10000000000.000000, right = 2536.206787, up = 10000000000.000000, down = 2648.479980
  -> Updated cell 69229 (99, 223): new pot = 2586.206787 (with added heuristic 3376.776123)
updateCellAstar: Cell 71090 (100, 229): left = 10000000000.000000, right = 10000000000.000000, up = 2662.121826, down = 10000000000.000000
  -> Updated cell 71090 (100, 229): new pot = 2712.121826 (with added heuristic 3428.012939)
updateCellAstar: Cell 71089 (99, 229): left = 10000000000.000000, right = 2712.121826, up = 2693.995117, down = 10000000000.000000
  -> Updated cell 71089 (99, 229): new pot = 2737.302734 (with added heuristic 3404.385986)
updateCellAstar: Cell 70466 (96, 227): left = 10000000000.000000, right = 2755.467285, up = 10000000000.000000, down = 10000000000.000000
  -> Updated cell 70466 (96, 227): new pot = 2805.467285 (with added heuristic 3364.484375)
updateCellAstar: Cell 70157 (97, 226): left = 10000000000.000000, right = 2678.037354, up = 2713.280029, down = 2755.467285
  -> Updated cell 70157 (97, 226): new pot = 2726.224854 (with added heuristic 3352.723145)
updateCellAstar: Cell 70777 (97, 228): left = 10000000000.000000, right = 2734.677734, up = 2755.467285, down = 10000000000.000000
  -> Updated cell 70777 (97, 228): new pot = 2778.921631 (with added heuristic 3364.156738)
updateCellAstar: Cell 71088 (98, 229): left = 10000000000.000000, right = 2737.302734, up = 2734.677734, down = 10000000000.000000
  -> Updated cell 71088 (98, 229): new pot = 2771.239014 (with added heuristic 3389.704834)
updateCellAstar: Cell 72071 (151, 232): left = 162.446335, right = 10000000000.000000, up = 10000000000.000000, down = 172.139114
updateCellAstar: Cell 73311 (151, 236): left = 162.446335, right = 10000000000.000000, up = 172.139114, down = 10000000000.000000
updateCellAstar: Cell 72072 (152, 232): left = 202.357941, right = 10000000000.000000, up = 10000000000.000000, down = 10000000000.000000
  -> Updated cell 72072 (152, 232): new pot = 252.357941 (with added heuristic 3552.357910)
updateCellAstar: Cell 71761 (151, 231): left = 202.357941, right = 10000000000.000000, up = 10000000000.000000, down = 202.357941
  -> Updated cell 71761 (151, 231): new pot = 237.557938 (with added heuristic 3487.942383)
updateCellAstar: Cell 71450 (150, 230): left = 218.552673, right = 10000000000.000000, up = 10000000000.000000, down = 202.357941
updateCellAstar: Cell 73930 (150, 238): left = 218.552673, right = 10000000000.000000, up = 202.357941, down = 10000000000.000000
updateCellAstar: Cell 71451 (151, 230): left = 244.945526, right = 10000000000.000000, up = 10000000000.000000, down = 237.557938
  -> Updated cell 71451 (151, 230): new pot = 276.427368 (with added heuristic 3527.965332)
updateCellAstar: Cell 71140 (150, 229): left = 265.890686, right = 10000000000.000000, up = 10000000000.000000, down = 244.945526
  -> Updated cell 71140 (150, 229): new pot = 289.242218 (with added heuristic 3492.755859)
updateCellAstar: Cell 70829 (149, 228): left = 300.000000, right = 10000000000.000000, up = 10000000000.000000, down = 265.890686
updateCellAstar: Cell 74549 (149, 240): left = 300.000000, right = 10000000000.000000, up = 265.890686, down = 10000000000.000000
  -> Updated cell 74549 (149, 240): new pot = 313.838318 (with added heuristic 3489.133545)
updateCellAstar: Cell 74858 (148, 241): left = 365.890686, right = 10000000000.000000, up = 300.000000, down = 10000000000.000000
  -> Updated cell 74858 (148, 241): new pot = 350.000000 (with added heuristic 3482.490967)
updateCellAstar: Cell 70207 (147, 226): left = 434.711304, right = 10000000000.000000, up = 10000000000.000000, down = 362.211426
  -> Updated cell 70207 (147, 226): new pot = 412.211426 (with added heuristic 3476.929932)
updateCellAstar: Cell 74856 (146, 241): left = 410.803497, right = 365.890686, up = 335.316498, down = 10000000000.000000
updateCellAstar: Cell 75167 (147, 242): left = 10000000000.000000, right = 10000000000.000000, up = 365.890686, down = 10000000000.000000
  -> Updated cell 75167 (147, 242): new pot = 415.890686 (with added heuristic 3506.602539)
updateCellAstar: Cell 75166 (146, 242): left = 460.803497, right = 415.890686, up = 382.440369, down = 10000000000.000000
  -> Updated cell 75166 (146, 242): new pot = 430.243164 (with added heuristic 3471.624512)
updateCellAstar: Cell 70205 (145, 226): left = 482.614594, right = 434.711304, up = 10000000000.000000, down = 405.905884
updateCellAstar: Cell 69896 (146, 225): left = 10000000000.000000, right = 10000000000.000000, up = 10000000000.000000, down = 434.711304
  -> Updated cell 69896 (146, 225): new pot = 484.711304 (with added heuristic 3505.059082)
updateCellAstar: Cell 69895 (145, 225): left = 532.614624, right = 484.711304, up = 10000000000.000000, down = 452.574402
  -> Updated cell 69895 (145, 225): new pot = 500.076599 (with added heuristic 3470.766846)
updateCellAstar: Cell 75164 (144, 242): left = 513.636353, right = 460.803497, up = 434.460205, down = 10000000000.000000
updateCellAstar: Cell 75475 (145, 243): left = 10000000000.000000, right = 10000000000.000000, up = 460.803497, down = 10000000000.000000
  -> Updated cell 75475 (145, 243): new pot = 510.803497 (with added heuristic 3511.636719)
updateCellAstar: Cell 75474 (144, 243): left = 563.636353, right = 510.803497, up = 480.446960, down = 10000000000.000000
  -> Updated cell 75474 (144, 243): new pot = 527.516357 (with added heuristic 3479.210693)
updateCellAstar: Cell 69893 (143, 225): left = 586.181152, right = 532.614624, up = 10000000000.000000, down = 506.715912
updateCellAstar: Cell 69584 (144, 224): left = 10000000000.000000, right = 10000000000.000000, up = 10000000000.000000, down = 532.614624
  -> Updated cell 69584 (144, 224): new pot = 582.614624 (with added heuristic 3510.070801)
updateCellAstar: Cell 69583 (143, 224): left = 636.181152, right = 582.614624, up = 10000000000.000000, down = 552.573608
  -> Updated cell 69583 (143, 224): new pot = 599.563232 (with added heuristic 3477.496582)
updateCellAstar: Cell 75471 (141, 243): left = 654.480530, right = 584.614502, up = 570.273376, down = 10000000000.000000
updateCellAstar: Cell 75782 (142, 244): left = 10000000000.000000, right = 10000000000.000000, up = 584.614502, down = 10000000000.000000
  -> Updated cell 75782 (142, 244): new pot = 634.614502 (with added heuristic 3498.178711)
updateCellAstar: Cell 75781 (141, 244): left = 704.480530, right = 634.614502, up = 612.137695, down = 10000000000.000000
  -> Updated cell 75781 (141, 244): new pot = 656.941162 (with added heuristic 3471.634766)
updateCellAstar: Cell 69580 (140, 224): left = 726.943726, right = 657.202332, up = 10000000000.000000, down = 642.858948
updateCellAstar: Cell 69271 (141, 223): left = 10000000000.000000, right = 10000000000.000000, up = 10000000000.000000, down = 657.202332
  -> Updated cell 69271 (141, 223): new pot = 707.202332 (with added heuristic 3493.777344)
updateCellAstar: Cell 69270 (140, 223): left = 776.943726, right = 707.202332, up = 10000000000.000000, down = 684.724182
  -> Updated cell 69270 (140, 223): new pot = 729.528076 (with added heuristic 3466.771240)
updateCellAstar: Cell 75778 (138, 244): left = 789.943359, right = 727.149170, up = 716.140259, down = 10000000000.000000
updateCellAstar: Cell 76089 (139, 245): left = 10000000000.000000, right = 10000000000.000000, up = 727.149170, down = 10000000000.000000
  -> Updated cell 76089 (139, 245): new pot = 777.149170 (with added heuristic 3505.701904)
updateCellAstar: Cell 75777 (137, 244): left = 841.364075, right = 756.624939, up = 752.761902, down = 10000000000.000000
updateCellAstar: Cell 76088 (138, 245): left = 10000000000.000000, right = 777.149170, up = 756.624939, down = 10000000000.000000
  -> Updated cell 76088 (138, 245): new pot = 800.778564 (with added heuristic 3480.797119)
updateCellAstar: Cell 76087 (137, 245): left = 891.364075, right = 800.778564, up = 789.943359, down = 10000000000.000000
  -> Updated cell 76087 (137, 245): new pot = 830.353333 (with added heuristic 3461.892822)
updateCellAstar: Cell 69267 (137, 223): left = 861.988403, right = 799.519897, up = 10000000000.000000, down = 788.272156
updateCellAstar: Cell 68958 (138, 222): left = 10000000000.000000, right = 10000000000.000000, up = 10000000000.000000, down = 799.519897
  -> Updated cell 68958 (138, 222): new pot = 1015.519897 (with added heuristic 3663.160156)
updateCellAstar: Cell 69266 (136, 223): left = 912.924194, right = 828.859131, up = 10000000000.000000, down = 824.622803
updateCellAstar: Cell 68957 (137, 222): left = 10000000000.000000, right = 1015.519897, up = 10000000000.000000, down = 828.859131
  -> Updated cell 68957 (137, 222): new pot = 1042.867310 (with added heuristic 3641.424805)
updateCellAstar: Cell 68956 (136, 222): left = 1128.924194, right = 1042.867310, up = 10000000000.000000, down = 861.988403
  -> Updated cell 68956 (136, 222): new pot = 1075.191895 (with added heuristic 3624.701660)
updateCellAstar: Cell 76084 (134, 245): left = 981.276001, right = 915.351562, up = 907.066589, down = 10000000000.000000
updateCellAstar: Cell 76395 (135, 246): left = 10000000000.000000, right = 10000000000.000000, up = 915.351562, down = 10000000000.000000
  -> Updated cell 76395 (135, 246): new pot = 965.351562 (with added heuristic 3513.390137)
updateCellAstar: Cell 76083 (133, 245): left = 1018.965881, right = 946.347534, up = 945.772156, down = 10000000000.000000
updateCellAstar: Cell 76394 (134, 246): left = 10000000000.000000, right = 965.351562, up = 946.347534, down = 10000000000.000000
  -> Updated cell 76394 (134, 246): new pot = 989.970947 (with added heuristic 3489.970947)
updateCellAstar: Cell 76082 (132, 245): left = 1058.450806, right = 981.276001, up = 986.175842, down = 10000000000.000000
updateCellAstar: Cell 76393 (133, 246): left = 10000000000.000000, right = 989.970947, up = 981.276001, down = 10000000000.000000
  -> Updated cell 76393 (133, 246): new pot = 1020.742493 (with added heuristic 3472.782471)
updateCellAstar: Cell 76081 (131, 245): left = 1120.050659, right = 1018.965881, up = 1027.701660, down = 10000000000.000000
updateCellAstar: Cell 76392 (132, 246): left = 10000000000.000000, right = 1020.742493, up = 1018.965881, down = 10000000000.000000
  -> Updated cell 76392 (132, 246): new pot = 1055.094238 (with added heuristic 3459.257324)
updateCellAstar: Cell 76391 (131, 246): left = 1170.050659, right = 1055.094238, up = 1058.450806, down = 10000000000.000000
  -> Updated cell 76391 (131, 246): new pot = 1092.023682 (with added heuristic 3448.397949)
updateCellAstar: Cell 76387 (127, 246): left = 1303.241455, right = 1227.482178, up = 1229.954468, down = 10000000000.000000
updateCellAstar: Cell 76698 (128, 247): left = 10000000000.000000, right = 10000000000.000000, up = 1227.482178, down = 10000000000.000000
  -> Updated cell 76698 (128, 247): new pot = 1277.482178 (with added heuristic 3507.392578)
updateCellAstar: Cell 76386 (126, 246): left = 1344.972656, right = 1263.966064, up = 1272.238892, down = 10000000000.000000
updateCellAstar: Cell 76697 (127, 247): left = 10000000000.000000, right = 1277.482178, up = 1263.966064, down = 10000000000.000000
  -> Updated cell 76697 (127, 247): new pot = 1305.498291 (with added heuristic 3488.386230)
updateCellAstar: Cell 76385 (125, 246): left = 10000000000.000000, right = 1303.241455, up = 1317.249756, down = 10000000000.000000
updateCellAstar: Cell 76696 (126, 247): left = 10000000000.000000, right = 1305.498291, up = 1303.241455, down = 10000000000.000000
  -> Updated cell 76696 (126, 247): new pot = 1339.615723 (with added heuristic 3475.616699)
updateCellAstar: Cell 76695 (125, 247): left = 10000000000.000000, right = 1339.615723, up = 1344.972656, down = 10000000000.000000
  -> Updated cell 76695 (125, 247): new pot = 1377.526611 (with added heuristic 3466.784912)
updateCellAstar: Cell 69229 (99, 223): left = 10000000000.000000, right = 2536.206787, up = 10000000000.000000, down = 2648.479980
updateCellAstar: Cell 68920 (100, 222): left = 10000000000.000000, right = 2695.842285, up = 10000000000.000000, down = 2536.206787
  -> Updated cell 68920 (100, 222): new pot = 2745.842285 (with added heuristic 3606.074707)
updateCellAstar: Cell 71091 (101, 229): left = 2712.121826, right = 10000000000.000000, up = 2621.079834, down = 10000000000.000000
  -> Updated cell 71091 (101, 229): new pot = 2812.630127 (with added heuristic 3577.482910)
updateCellAstar: Cell 69846 (96, 225): left = 10000000000.000000, right = 2713.280029, up = 10000000000.000000, down = 10000000000.000000
  -> Updated cell 69846 (96, 225): new pot = 2763.280029 (with added heuristic 3373.607910)
updateCellAstar: Cell 69537 (97, 224): left = 10000000000.000000, right = 2690.526367, up = 10000000000.000000, down = 2713.280029
  -> Updated cell 69537 (97, 224): new pot = 2735.419189 (with added heuristic 3415.492676)
updateCellAstar: Cell 70157 (97, 226): left = 10000000000.000000, right = 2678.037354, up = 2713.280029, down = 2755.467285
updateCellAstar: Cell 69228 (98, 223): left = 10000000000.000000, right = 2586.206787, up = 10000000000.000000, down = 2690.526367
  -> Updated cell 69228 (98, 223): new pot = 2636.206787 (with added heuristic 3386.206787)
updateCellAstar: Cell 68919 (99, 222): left = 10000000000.000000, right = 2745.842285, up = 10000000000.000000, down = 2586.206787
  -> Updated cell 68919 (99, 222): new pot = 2795.842285 (with added heuristic 3615.903320)
updateCellAstar: Cell 71089 (99, 229): left = 2771.239014, right = 2712.121826, up = 2693.995117, down = 10000000000.000000
updateCellAstar: Cell 71400 (100, 230): left = 10000000000.000000, right = 10000000000.000000, up = 2712.121826, down = 10000000000.000000
  -> Updated cell 71400 (100, 230): new pot = 2762.121826 (with added heuristic 3469.228516)
updateCellAstar: Cell 71088 (98, 229): left = 10000000000.000000, right = 2737.302734, up = 2734.677734, down = 10000000000.000000
updateCellAstar: Cell 71399 (99, 230): left = 10000000000.000000, right = 2762.121826, up = 2737.302734, down = 10000000000.000000
  -> Updated cell 71399 (99, 230): new pot = 2782.839355 (with added heuristic 3440.486816)
updateCellAstar: Cell 70465 (95, 227): left = 10000000000.000000, right = 2805.467285, up = 10000000000.000000, down = 10000000000.000000
  -> Updated cell 70465 (95, 227): new pot = 2855.467285 (with added heuristic 3370.248779)
updateCellAstar: Cell 70156 (96, 226): left = 10000000000.000000, right = 2726.224854, up = 2763.280029, down = 2805.467285
  -> Updated cell 70156 (96, 226): new pot = 2774.770996 (with added heuristic 3357.866211)
updateCellAstar: Cell 70776 (96, 228): left = 10000000000.000000, right = 2778.921631, up = 2805.467285, down = 10000000000.000000
  -> Updated cell 70776 (96, 228): new pot = 2824.966553 (with added heuristic 3363.482910)
updateCellAstar: Cell 71087 (97, 229): left = 10000000000.000000, right = 2771.239014, up = 2778.921631, down = 10000000000.000000
  -> Updated cell 71087 (97, 229): new pot = 2810.244629 (with added heuristic 3380.332275)
updateCellAstar: Cell 71398 (98, 230): left = 10000000000.000000, right = 2782.839355, up = 2771.239014, down = 10000000000.000000
  -> Updated cell 71398 (98, 230): new pot = 2811.976074 (with added heuristic 3420.252441)
updateCellAstar: Cell 76701 (131, 247): left = 10000000000.000000, right = 10000000000.000000, up = 1092.023682, down = 10000000000.000000
  -> Updated cell 76701 (131, 247): new pot = 1142.023682 (with added heuristic 3513.731934)
updateCellAstar: Cell 69845 (95, 225): left = 10000000000.000000, right = 2763.280029, up = 10000000000.000000, down = 10000000000.000000
  -> Updated cell 69845 (95, 225): new pot = 2813.280029 (with added heuristic 3383.367676)
updateCellAstar: Cell 69536 (96, 224): left = 10000000000.000000, right = 2735.419189, up = 10000000000.000000, down = 2763.280029
  -> Updated cell 69536 (96, 224): new pot = 2781.832764 (with added heuristic 3422.145264)
updateCellAstar: Cell 70156 (96, 226): left = 10000000000.000000, right = 2726.224854, up = 2763.280029, down = 2805.467285
updateCellAstar: Cell 69227 (97, 223): left = 10000000000.000000, right = 2636.206787, up = 10000000000.000000, down = 2735.419189
  -> Updated cell 69227 (97, 223): new pot = 2686.206787 (with added heuristic 3396.840332)
updateCellAstar: Cell 68918 (98, 222): left = 10000000000.000000, right = 2795.842285, up = 10000000000.000000, down = 2636.206787
  -> Updated cell 68918 (98, 222): new pot = 2845.842285 (with added heuristic 3626.867188)
updateCellAstar: Cell 71398 (98, 230): left = 10000000000.000000, right = 2782.839355, up = 2771.239014, down = 10000000000.000000
updateCellAstar: Cell 71709 (99, 231): left = 10000000000.000000, right = 10000000000.000000, up = 2782.839355, down = 10000000000.000000
  -> Updated cell 71709 (99, 231): new pot = 2832.839355 (with added heuristic 3484.759521)
updateCellAstar: Cell 70464 (94, 227): left = 10000000000.000000, right = 2855.467285, up = 10000000000.000000, down = 10000000000.000000
  -> Updated cell 70464 (94, 227): new pot = 2905.467285 (with added heuristic 3377.166260)
updateCellAstar: Cell 70155 (95, 226): left = 10000000000.000000, right = 2774.770996, up = 2813.280029, down = 2855.467285
  -> Updated cell 70155 (95, 226): new pot = 2823.583252 (with added heuristic 3364.416016)
updateCellAstar: Cell 70775 (95, 228): left = 10000000000.000000, right = 2824.966553, up = 2855.467285, down = 10000000000.000000
  -> Updated cell 70775 (95, 228): new pot = 2872.072021 (with added heuristic 3364.514893)
updateCellAstar: Cell 71086 (96, 229): left = 10000000000.000000, right = 2810.244629, up = 2824.966553, down = 10000000000.000000
  -> Updated cell 71086 (96, 229): new pot = 2852.260254 (with added heuristic 3374.275635)
updateCellAstar: Cell 71397 (97, 230): left = 10000000000.000000, right = 2811.976074, up = 2810.244629, down = 10000000000.000000
  -> Updated cell 71397 (97, 230): new pot = 2846.349609 (with added heuristic 3405.366699)
updateCellAstar: Cell 71708 (98, 231): left = 10000000000.000000, right = 2832.839355, up = 2811.976074, down = 10000000000.000000
  -> Updated cell 71708 (98, 231): new pot = 2856.245117 (with added heuristic 3458.324707)
updateCellAstar: Cell 69844 (94, 225): left = 10000000000.000000, right = 2813.280029, up = 10000000000.000000, down = 10000000000.000000
  -> Updated cell 69844 (94, 225): new pot = 2863.280029 (with added heuristic 3394.787354)
updateCellAstar: Cell 69535 (95, 224): left = 10000000000.000000, right = 2781.832764, up = 10000000000.000000, down = 2813.280029
  -> Updated cell 69535 (95, 224): new pot = 2829.170654 (with added heuristic 3431.250488)
updateCellAstar: Cell 70155 (95, 226): left = 10000000000.000000, right = 2774.770996, up = 2813.280029, down = 2855.467285
updateCellAstar: Cell 69226 (96, 223): left = 10000000000.000000, right = 2686.206787, up = 10000000000.000000, down = 2781.832764
  -> Updated cell 69226 (96, 223): new pot = 2736.206787 (with added heuristic 3408.887939)
updateCellAstar: Cell 68917 (97, 222): left = 10000000000.000000, right = 2845.842285, up = 10000000000.000000, down = 2686.206787
  -> Updated cell 68917 (97, 222): new pot = 2895.842285 (with added heuristic 3639.145752)
updateCellAstar: Cell 70463 (93, 227): left = 10000000000.000000, right = 2905.467285, up = 10000000000.000000, down = 10000000000.000000
  -> Updated cell 70463 (93, 227): new pot = 2955.467285 (with added heuristic 3385.583496)
updateCellAstar: Cell 70154 (94, 226): left = 10000000000.000000, right = 2823.583252, up = 2863.280029, down = 2905.467285
  -> Updated cell 70154 (94, 226): new pot = 2872.598389 (with added heuristic 3372.598389)
updateCellAstar: Cell 70774 (94, 228): left = 10000000000.000000, right = 2872.072021, up = 2905.467285, down = 10000000000.000000
  -> Updated cell 70774 (94, 228): new pot = 2919.862549 (with added heuristic 3367.076172)
updateCellAstar: Cell 71085 (95, 229): left = 10000000000.000000, right = 2852.260254, up = 2872.072021, down = 10000000000.000000
  -> Updated cell 71085 (95, 229): new pot = 2896.167969 (with added heuristic 3370.509521)
updateCellAstar: Cell 71396 (96, 230): left = 10000000000.000000, right = 2846.349609, up = 2852.260254, down = 10000000000.000000
  -> Updated cell 71396 (96, 230): new pot = 2884.525635 (with added heuristic 3394.427490)
updateCellAstar: Cell 71707 (97, 231): left = 10000000000.000000, right = 2856.245117, up = 2846.349609, down = 10000000000.000000
  -> Updated cell 71707 (97, 231): new pot = 2886.350586 (with added heuristic 3438.618652)
updateCellAstar: Cell 69843 (93, 225): left = 10000000000.000000, right = 2863.280029, up = 10000000000.000000, down = 10000000000.000000
  -> Updated cell 69843 (93, 225): new pot = 2913.280029 (with added heuristic 3408.254883)
updateCellAstar: Cell 69534 (94, 224): left = 10000000000.000000, right = 2829.170654, up = 10000000000.000000, down = 2863.280029
  -> Updated cell 69534 (94, 224): new pot = 2877.118408 (with added heuristic 3442.803711)
updateCellAstar: Cell 70154 (94, 226): left = 10000000000.000000, right = 2823.583252, up = 2863.280029, down = 2905.467285
updateCellAstar: Cell 69225 (95, 223): left = 10000000000.000000, right = 2736.206787, up = 10000000000.000000, down = 2829.170654
  -> Updated cell 69225 (95, 223): new pot = 2786.206787 (with added heuristic 3422.603027)
updateCellAstar: Cell 68916 (96, 222): left = 10000000000.000000, right = 2895.842285, up = 10000000000.000000, down = 2736.206787
  -> Updated cell 68916 (96, 222): new pot = 2945.842285 (with added heuristic 3652.949219)
updateCellAstar: Cell 70462 (92, 227): left = 10000000000.000000, right = 2955.467285, up = 10000000000.000000, down = 10000000000.000000
  -> Updated cell 70462 (92, 227): new pot = 3005.467285 (with added heuristic 3395.979736)
updateCellAstar: Cell 70153 (93, 226): left = 10000000000.000000, right = 2872.598389, up = 2913.280029, down = 2955.467285
  -> Updated cell 70153 (93, 226): new pot = 2921.771729 (with added heuristic 3382.749023)
updateCellAstar: Cell 70773 (93, 228): left = 10000000000.000000, right = 2919.862549, up = 2955.467285, down = 10000000000.000000
  -> Updated cell 70773 (93, 228): new pot = 2968.124023 (with added heuristic 3371.236816)
updateCellAstar: Cell 71084 (94, 229): left = 10000000000.000000, right = 2896.167969, up = 2919.862549, down = 10000000000.000000
  -> Updated cell 71084 (94, 229): new pot = 2941.358887 (with added heuristic 3368.559082)
updateCellAstar: Cell 71395 (95, 230): left = 10000000000.000000, right = 2884.525635, up = 2896.167969, down = 10000000000.000000
  -> Updated cell 71395 (95, 230): new pot = 2925.280518 (with added heuristic 3386.257812)
updateCellAstar: Cell 71706 (96, 231): left = 10000000000.000000, right = 2886.350586, up = 2884.525635, down = 10000000000.000000
